N,P,K,temperature,humidity,ph,rainfall,target_crop,Moisture,Soil Type,Fertilizer Name,Yield_Score,Risk_Score
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,41.0,,Organic Manure,0.2391666666666666,0.4369590958032574
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,rice,41.0,,Organic Manure,0.2514666666666666,0.4609198700636421
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,rice,41.0,,Organic Manure,0.15211,0.3789104038174633
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,rice,41.0,,Organic Manure,0.2036333333333333,0.4299669714114253
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,rice,41.0,,Organic Manure,0.1549799999999999,0.4902566723673092
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,rice,41.0,,Organic Manure,0.2022666666666666,0.4144366331897245
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,rice,41.0,,Organic Manure,0.1549799999999999,0.4478977185653645
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,41.0,,Organic Manure,0.1788966666666666,0.5441731111466545
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,41.0,,Organic Manure,0.2473666666666666,0.4906816271289627
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,rice,41.0,,Organic Manure,0.2241333333333333,0.3598754831392662
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,rice,41.0,,Organic Manure,0.1760266666666666,0.5760972588879022
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,rice,41.0,,Organic Manure,0.1702866666666666,0.5384771227140592
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,rice,41.0,,Organic Manure,0.1722,0.5307867021502917
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,rice,41.0,,Organic Manure,0.2528333333333333,0.412235533810516
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,rice,41.0,,Organic Manure,0.2473666666666666,0.4713378383309543
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,41.0,,Organic Manure,0.2009,0.3317154394733057
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,41.0,,Organic Manure,0.2241333333333333,0.5625977704114673
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,rice,41.0,,Organic Manure,0.2255,0.4490545210714556
77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,41.0,,Organic Manure,0.1444566666666666,0.413669649949143
88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,41.0,,Organic Manure,0.1559366666666666,0.6132835742488999
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,rice,41.0,,Organic Manure,0.2323333333333333,0.3949736979760629
76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,rice,41.0,,Organic Manure,0.15211,0.4207146952525279
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,rice,41.0,,Organic Manure,0.2282333333333333,0.3419952090242404
83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,rice,41.0,,Organic Manure,0.2282333333333333,0.4628866573436899
98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,rice,41.0,,Organic Manure,0.2487333333333333,0.5253236192205075
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,rice,41.0,,Organic Manure,0.1530666666666666,0.4058109839948255
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,41.0,,Organic Manure,0.2719666666666666,0.6297316445082696
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,rice,41.0,,Organic Manure,0.2569333333333333,0.6039834088547151
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,rice,41.0,,Organic Manure,0.2090999999999999,0.3446270243091949
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,rice,41.0,,Organic Manure,0.2323333333333333,0.3978678528621627
73.0,57.0,41.0,21.44653958,84.94375962,5.824709117,272.2017204,rice,41.0,,Organic Manure,0.1635899999999999,0.4753942200889288
92.0,35.0,40.0,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,41.0,,Organic Manure,0.2282333333333333,0.4404023693677515
85.0,37.0,39.0,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,41.0,,Organic Manure,0.2200333333333333,0.4568937793694814
98.0,53.0,38.0,20.26707606,81.63895217,5.01450727,270.4417274,rice,41.0,,Organic Manure,0.1808099999999999,0.6340740041408914
88.0,54.0,44.0,25.7354293,83.88266234,6.149410611,233.1321372,rice,41.0,,Organic Manure,0.2542,0.490823093696412
95.0,55.0,42.0,26.79533926,82.1480873,5.950660556,193.3473987,rice,41.0,,Organic Manure,0.1836799999999999,0.4394425539654625
99.0,57.0,35.0,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,41.0,,Organic Manure,0.1827233333333333,0.6449452621404275
95.0,39.0,36.0,23.86330467,83.15250801,5.561398642,285.2493645,rice,41.0,,Organic Manure,0.1626333333333333,0.6483185711094087
60.0,43.0,44.0,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,41.0,,Organic Manure,0.2009,0.4283442375721869
63.0,44.0,41.0,24.17298839,83.7287574,5.583370042,257.0343554,rice,41.0,,Organic Manure,0.1415866666666666,0.3874109539429693
62.0,42.0,36.0,22.78133816,82.06719137,6.430010215,248.7183228,rice,41.0,,Organic Manure,0.1913333333333333,0.3689263212171283
64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,rice,41.0,,Organic Manure,0.1454133333333333,0.3213904686764754
83.0,60.0,36.0,25.59704938,80.14509262,6.903985986,200.834898,rice,41.0,,Organic Manure,0.2446333333333333,0.3988021066286113
82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,41.0,,Organic Manure,0.2214,0.5857142857142857
85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,265.5355937,rice,41.0,,Organic Manure,0.2487333333333333,0.5399851808141884
91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,rice,41.0,,Organic Manure,0.2241333333333333,0.3998911825689512
76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,rice,41.0,,Organic Manure,0.1597633333333332,0.3581153864693839
74.0,39.0,38.0,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,41.0,,Organic Manure,0.1444566666666666,0.4125839453183399
79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,rice,41.0,,Organic Manure,0.2200333333333333,0.3984438622745958
88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,rice,41.0,,Organic Manure,0.1798533333333333,0.5341681903071235
60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,41.0,,Organic Manure,0.1329766666666666,0.3156648316996229
76.0,60.0,39.0,20.0454142,80.3477562,6.766240045,208.5810155,rice,41.0,,Organic Manure,0.2391666666666666,0.3792525775937619
93.0,56.0,42.0,23.85724032,82.22572988,7.382762603,195.0948311,rice,41.0,,Organic Manure,0.2610333333333333,0.4340791071356484
65.0,60.0,43.0,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,41.0,,Organic Manure,0.16072,0.3535693888350643
95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,41.0,,Organic Manure,0.1750699999999999,0.651180061332204
75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,rice,41.0,,Organic Manure,0.2077333333333333,0.5094699824447536
74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,rice,41.0,,Organic Manure,0.2268666666666666,0.3848479650764377
91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,41.0,,Organic Manure,0.1645466666666666,0.5834152534455646
71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,rice,41.0,,Organic Manure,0.2145666666666666,0.3260578963823401
99.0,55.0,35.0,21.7238313,80.2389895,6.501697816,277.9626192,rice,41.0,,Organic Manure,0.2583,0.6583574603530226
72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,rice,41.0,,Organic Manure,0.1435,0.4222858875506515
83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,rice,41.0,,Organic Manure,0.17794,0.487817581704103
93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,rice,41.0,,Organic Manure,0.2583,0.6219781316165149
70.0,36.0,42.0,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,41.0,,Organic Manure,0.2022666666666666,0.3389331327885748
76.0,47.0,42.0,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,41.0,,Organic Manure,0.15785,0.479358555642124
99.0,41.0,36.0,24.45802087,82.74835604,6.738652179,182.5616319,rice,41.0,,Organic Manure,0.2405333333333333,0.432399193393366
99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,41.0,,Organic Manure,0.1817666666666666,0.4705593655522326
86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,rice,41.0,,Organic Manure,0.2459999999999999,0.5010246162184453
69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,rice,41.0,,Organic Manure,0.1492399999999999,0.4343373347484794
